Z,A,E,Yield,Error
-0.9,-0.866666667,0.2,1.32E-17,6.62E-20
-0.8625,-0.866666667,0.2,5.36E-13,2.69E-15
-0.8625,-0.85,0.2,7.26E-14,3.63E-16
-0.8625,-0.833333333,0.2,2.75E-15,1.37E-17
-0.8625,-0.816666666,0.2,2.39E-17,1.20E-19
-0.8625,-0.8,0.2,0,0
-0.825,-0.866666667,0.2,1.12E-10,1.19E-12
-0.825,-0.85,0.2,1.09E-10,1.17E-12
-0.825,-0.833333333,0.2,1.53E-11,7.64E-14
-0.825,-0.816666666,0.2,9.26E-13,4.63E-15
-0.825,-0.8,0.2,4.49E-14,2.25E-16
-0.825,-0.783333333,0.2,0,0
-0.825,-0.766666667,0.2,7.32E-17,3.66E-19
-0.825,-0.75,0.2,1.81E-19,9.06E-22
-0.7875,-0.866666667,0.2,5.79E-09,4.11E-11
-0.7875,-0.85,0.2,7.16E-09,7.49E-11
-0.7875,-0.833333333,0.2,5.22E-09,5.53E-11
-0.7875,-0.816666666,0.2,1.10E-09,1.17E-11
-0.7875,-0.8,0.2,3.09E-10,3.29E-12
-0.7875,-0.783333333,0.2,5.74E-11,2.87E-13
-0.7875,-0.766666667,0.2,7.23E-12,3.61E-14
-0.7875,-0.75,0.2,1.17E-13,5.82E-16
-0.7875,-0.733333333,0.2,0,0
-0.7875,-0.716666667,0.2,2.61E-16,1.30E-18
-0.7875,-0.7,0.2,0,0
-0.75,-0.866666667,0.2,4.20E-09,3.66E-11
-0.75,-0.85,0.2,3.54E-08,1.78E-10
-0.75,-0.833333333,0.2,4.85E-08,3.44E-10
-0.75,-0.816666666,0.2,5.48E-08,5.33E-10
-0.75,-0.8,0.2,2.46E-08,1.91E-10
-0.75,-0.783333333,0.2,1.90E-08,2.01E-10
-0.75,-0.766666667,0.2,6.15E-09,6.41E-11
-0.75,-0.75,0.2,1.44E-09,5.93E-12
-0.75,-0.733333333,0.2,3.00E-10,1.22E-12
-0.75,-0.716666667,0.2,4.43E-11,2.21E-13
-0.75,-0.7,0.2,3.72E-12,1.87E-14
-0.75,-0.683333333,0.2,1.57E-13,7.86E-16
-0.75,-0.666666667,0.2,3.06E-15,1.53E-17
-0.7125,-0.866666667,0.2,1.04E-09,1.09E-11
-0.7125,-0.85,0.2,1.30E-08,1.30E-10
