,E_physical,E_physical,E_physical,E_physical,Yield_physical,Yield_physical,Yield_physical,Yield_physical,Yield_physical,Yield_physical
,min,max,mean,std,count,mean,std,min,max,median
E_group,,,,,,,,,,
0.000 MeV,0.0,0.0,0.0,0.0,1617,0.466377,1.078348,0.0,6.619731,0.000383
0.170 MeV,0.17,0.17,0.17,0.0,2,0.65,0.212132,0.5,0.8,0.65
0.525 MeV,0.5,0.55,0.500082,0.002021,1223,0.26344,0.847928,0.0,5.928495,3e-06
14.000 MeV,14.0,14.0,14.0,0.0,1215,0.246719,0.611516,0.0,3.147209,0.000245
14.300 MeV,14.3,14.3,14.3,0.0,2,0.477,0.031113,0.455,0.499,0.477
2.000 MeV,2.0,2.0,2.0,0.0,2,1.255,1.237437,0.38,2.13,1.255
3.000 MeV,3.0,3.0,3.0,0.0,57,1.755351,1.353846,0.03,4.94,1.57
4.000 MeV,4.0,4.0,4.0,0.0,2,1.205,1.053589,0.46,1.95,1.205
5.500 MeV,5.5,5.5,5.5,0.0,2,1.77,1.244508,0.89,2.65,1.77
6.300 MeV,6.3,6.3,6.3,0.0,2,1.89,1.527351,0.81,2.97,1.89
7.100 MeV,7.1,7.1,7.1,0.0,2,1.83,2.036468,0.39,3.27,1.83
8.100 MeV,8.1,8.1,8.1,,1,2.69,,2.69,2.69,2.69
