Z,A,E,Yield,Error,Z_physical,A_physical,E_physical,Yield_physical,Error_physical,E_group
-0.9,-0.866666667,0.2,1.32e-17,6.62e-20,23.0,65.99999998,2.5300000659831888e-08,8.548760000000001e-17,4.287332666666667e-19,0.000 MeV
-0.8625,-0.866666667,0.2,5.36e-13,2.69e-15,24.0,65.99999998,2.5300000659831888e-08,3.4713146666666674e-12,1.742133666666667e-14,0.000 MeV
-0.8625,-0.85,0.2,7.26e-14,3.63e-16,24.0,67.0,2.5300000659831888e-08,4.701818000000001e-13,2.3509090000000004e-15,0.000 MeV
-0.8625,-0.833333333,0.2,2.75e-15,1.37e-17,24.0,68.00000002,2.5300000659831888e-08,1.780991666666667e-14,8.872576666666668e-17,0.000 MeV
-0.8625,-0.816666666,0.2,2.39e-17,1.2e-19,24.0,69.00000004,2.5300000659831888e-08,1.547843666666667e-16,7.771600000000002e-19,0.000 MeV
-0.8625,-0.8,0.2,0.0,0.0,24.0,70.0,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.825,-0.866666667,0.2,1.12e-10,1.19e-12,25.0,65.99999998,2.5300000659831888e-08,7.253493333333334e-10,7.706836666666668e-12,0.000 MeV
-0.825,-0.85,0.2,1.09e-10,1.17e-12,25.0,67.0,2.5300000659831888e-08,7.059203333333335e-10,7.577310000000001e-12,0.000 MeV
-0.825,-0.833333333,0.2,1.53e-11,7.64e-14,25.0,68.00000002,2.5300000659831888e-08,9.908790000000002e-11,4.947918666666667e-13,0.000 MeV
-0.825,-0.816666666,0.2,9.26e-13,4.63e-15,25.0,69.00000004,2.5300000659831888e-08,5.997084666666668e-12,2.998542333333334e-14,0.000 MeV
-0.825,-0.8,0.2,4.49e-14,2.25e-16,25.0,70.0,2.5300000659831888e-08,2.9078736666666673e-13,1.4571750000000003e-15,0.000 MeV
-0.825,-0.783333333,0.2,0.0,0.0,25.0,71.00000002000002,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.825,-0.766666667,0.2,7.32e-17,3.66e-19,25.0,71.99999998000001,2.5300000659831888e-08,4.740676000000001e-16,2.3703380000000003e-18,0.000 MeV
-0.825,-0.75,0.2,1.81e-19,9.06e-22,25.0,73.00000000000001,2.5300000659831888e-08,1.1722163333333333e-18,5.8675580000000004e-21,0.000 MeV
-0.7875,-0.866666667,0.2,5.79e-09,4.11e-11,26.0,65.99999998,2.5300000659831888e-08,3.7497970000000006e-08,2.661773e-10,0.000 MeV
-0.7875,-0.85,0.2,7.16e-09,7.49e-11,26.0,67.0,2.5300000659831888e-08,4.637054666666667e-08,4.850773666666667e-10,0.000 MeV
-0.7875,-0.833333333,0.2,5.22e-09,5.53e-11,26.0,68.00000002,2.5300000659831888e-08,3.380646e-08,3.5814123333333336e-10,0.000 MeV
-0.7875,-0.816666666,0.2,1.1e-09,1.17e-11,26.0,69.00000004,2.5300000659831888e-08,7.123966666666667e-09,7.577310000000002e-11,0.000 MeV
-0.7875,-0.8,0.2,3.09e-10,3.29e-12,26.0,70.0,2.5300000659831888e-08,2.0011870000000005e-09,2.130713666666667e-11,0.000 MeV
-0.7875,-0.783333333,0.2,5.74e-11,2.87e-13,26.0,71.00000002000002,2.5300000659831888e-08,3.7174153333333334e-10,1.8587076666666668e-12,0.000 MeV
-0.7875,-0.766666667,0.2,7.23e-12,3.61e-14,26.0,71.99999998000001,2.5300000659831888e-08,4.682389e-11,2.3379563333333336e-13,0.000 MeV
-0.7875,-0.75,0.2,1.17e-13,5.82e-16,26.0,73.00000000000001,2.5300000659831888e-08,7.577310000000001e-13,3.769226000000001e-15,0.000 MeV
-0.7875,-0.733333333,0.2,0.0,0.0,26.0,74.00000002,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.7875,-0.716666667,0.2,2.61e-16,1.3e-18,26.0,74.99999998,2.5300000659831888e-08,1.6903230000000003e-15,8.419233333333334e-18,0.000 MeV
-0.7875,-0.7,0.2,0.0,0.0,26.0,76.00000000000001,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.75,-0.866666667,0.2,4.2e-09,3.66e-11,27.0,65.99999998,2.5300000659831888e-08,2.7200600000000005e-08,2.3703380000000003e-10,0.000 MeV
-0.75,-0.85,0.2,3.54e-08,1.78e-10,27.0,67.0,2.5300000659831888e-08,2.2926220000000002e-07,1.1527873333333336e-09,0.000 MeV
-0.75,-0.833333333,0.2,4.85e-08,3.44e-10,27.0,68.00000002,2.5300000659831888e-08,3.141021666666667e-07,2.227858666666667e-09,0.000 MeV
-0.75,-0.816666666,0.2,5.48e-08,5.33e-10,27.0,69.00000004,2.5300000659831888e-08,3.549030666666667e-07,3.4518856666666674e-09,0.000 MeV
-0.75,-0.8,0.2,2.46e-08,1.91e-10,27.0,70.0,2.5300000659831888e-08,1.5931780000000001e-07,1.2369796666666668e-09,0.000 MeV
-0.75,-0.783333333,0.2,1.9e-08,2.01e-10,27.0,71.00000002000002,2.5300000659831888e-08,1.2305033333333335e-07,1.3017430000000002e-09,0.000 MeV
-0.75,-0.766666667,0.2,6.15e-09,6.41e-11,27.0,71.99999998000001,2.5300000659831888e-08,3.9829450000000003e-08,4.1513296666666674e-10,0.000 MeV
-0.75,-0.75,0.2,1.44e-09,5.93e-12,27.0,73.00000000000001,2.5300000659831888e-08,9.325920000000001e-09,3.840465666666667e-11,0.000 MeV
-0.75,-0.733333333,0.2,3e-10,1.22e-12,27.0,74.00000002,2.5300000659831888e-08,1.9429000000000004e-09,7.901126666666667e-12,0.000 MeV
-0.75,-0.716666667,0.2,4.43e-11,2.21e-13,27.0,74.99999998,2.5300000659831888e-08,2.869015666666667e-10,1.4312696666666667e-12,0.000 MeV
-0.75,-0.7,0.2,3.72e-12,1.87e-14,27.0,76.00000000000001,2.5300000659831888e-08,2.4091960000000005e-11,1.2110743333333334e-13,0.000 MeV
-0.75,-0.683333333,0.2,1.57e-13,7.86e-16,27.0,77.00000002000002,2.5300000659831888e-08,1.0167843333333334e-12,5.0903980000000004e-15,0.000 MeV
-0.75,-0.666666667,0.2,3.06e-15,1.53e-17,27.0,77.99999998000001,2.5300000659831888e-08,1.981758e-14,9.908790000000002e-17,0.000 MeV
-0.7125,-0.866666667,0.2,1.04e-09,1.09e-11,27.999999999999996,65.99999998,2.5300000659831888e-08,6.735386666666667e-09,7.059203333333334e-11,0.000 MeV
-0.7125,-0.85,0.2,1.3e-08,1.3e-10,27.999999999999996,67.0,2.5300000659831888e-08,8.419233333333335e-08,8.419233333333334e-10,0.000 MeV
