Z_physical,A_physical,E_physical,E_norm,Yield_pred
23.0,65.99999998,0.0,0.19999999963857143,-7.863867e-13
23.0,65.99999998,1.0,0.21428571395010204,-1.4472504e-12
23.0,65.99999998,2.0,0.22857142826163265,-1.8575436e-12
23.0,65.99999998,3.0,0.24285714257316326,-2.1365154e-12
23.0,65.99999998,4.0,0.2571428568846939,-2.363819e-12
23.0,65.99999998,5.0,0.2714285711962245,-2.5707355e-12
23.0,65.99999998,6.0,0.28571428550775513,-2.7204417e-12
23.0,65.99999998,7.0,0.2999999998192857,-2.7127222e-12
23.0,65.99999998,8.0,0.31428571413081635,-2.400634e-12
23.0,65.99999998,9.0,0.328571428442347,-1.5275943e-12
23.0,65.99999998,10.0,0.3428571427538776,4.0960963e-13
23.0,65.99999998,11.0,0.35714285706540816,4.3010886e-12
23.0,65.99999998,12.0,0.3714285713769388,1.1842741e-11
23.0,65.99999998,13.0,0.38571428568846944,2.9584737e-11
23.0,65.99999998,14.0,0.4,8.612656e-11
24.0,65.99999998,0.0,0.19999999963857143,6.88174e-11
24.0,65.99999998,1.0,0.21428571395010204,3.4618736e-10
24.0,65.99999998,2.0,0.22857142826163265,1.4909903e-09
24.0,65.99999998,3.0,0.24285714257316326,3.507946e-09
24.0,65.99999998,4.0,0.2571428568846939,5.715748e-09
24.0,65.99999998,5.0,0.2714285711962245,8.2971345e-09
24.0,65.99999998,6.0,0.28571428550775513,1.4175587e-08
24.0,65.99999998,7.0,0.2999999998192857,2.4385844e-08
24.0,65.99999998,8.0,0.31428571413081635,3.2041847e-08
24.0,65.99999998,9.0,0.328571428442347,4.245339e-08
24.0,65.99999998,10.0,0.3428571427538776,6.339642e-08
24.0,65.99999998,11.0,0.35714285706540816,1.0683779e-07
24.0,65.99999998,12.0,0.3714285713769388,1.6941964e-07
24.0,65.99999998,13.0,0.38571428568846944,2.1657519e-07
24.0,65.99999998,14.0,0.4,2.5152076e-07
24.0,67.0,0.0,0.19999999963857143,7.341997e-12
24.0,67.0,1.0,0.21428571395010204,9.3124735e-12
24.0,67.0,2.0,0.22857142826163265,9.67766e-12
24.0,67.0,3.0,0.24285714257316326,9.3269385e-12
24.0,67.0,4.0,0.2571428568846939,1.11800525e-11
24.0,67.0,5.0,0.2714285711962245,2.140875e-11
24.0,67.0,6.0,0.28571428550775513,5.0423006e-11
24.0,67.0,7.0,0.2999999998192857,8.967773e-11
24.0,67.0,8.0,0.31428571413081635,1.2583226e-10
24.0,67.0,9.0,0.328571428442347,2.6141922e-10
24.0,67.0,10.0,0.3428571427538776,9.658506e-10
24.0,67.0,11.0,0.35714285706540816,6.3566037e-09
24.0,67.0,12.0,0.3714285713769388,2.5270912e-08
24.0,67.0,13.0,0.38571428568846944,4.333237e-08
24.0,67.0,14.0,0.4,8.0476646e-08
24.0,68.00000002,0.0,0.19999999963857143,2.4571053e-12
24.0,68.00000002,1.0,0.21428571395010204,2.7082965e-12
24.0,68.00000002,2.0,0.22857142826163265,2.9832575e-12
24.0,68.00000002,3.0,0.24285714257316326,3.5000737e-12
24.0,68.00000002,4.0,0.2571428568846939,4.4830632e-12
24.0,68.00000002,5.0,0.2714285711962245,6.1229515e-12
24.0,68.00000002,6.0,0.28571428550775513,8.517813e-12
24.0,68.00000002,7.0,0.2999999998192857,1.1568771e-11
24.0,68.00000002,8.0,0.31428571413081635,1.5276228e-11
24.0,68.00000002,9.0,0.328571428442347,2.1105288e-11
24.0,68.00000002,10.0,0.3428571427538776,3.40102e-11
24.0,68.00000002,11.0,0.35714285706540816,6.951855e-11
24.0,68.00000002,12.0,0.3714285713769388,1.774985e-10
24.0,68.00000002,13.0,0.38571428568846944,5.2027266e-10
24.0,68.00000002,14.0,0.4,1.9671351e-09
24.0,69.00000004,0.0,0.19999999963857143,1.4400964e-12
24.0,69.00000004,1.0,0.21428571395010204,2.1708885e-12
24.0,69.00000004,2.0,0.22857142826163265,4.4407893e-12
24.0,69.00000004,3.0,0.24285714257316326,9.203051e-12
24.0,69.00000004,4.0,0.2571428568846939,1.6999605e-11
24.0,69.00000004,5.0,0.2714285711962245,2.7854996e-11
24.0,69.00000004,6.0,0.28571428550775513,4.0383374e-11
24.0,69.00000004,7.0,0.2999999998192857,5.1415892e-11
24.0,69.00000004,8.0,0.31428571413081635,5.868099e-11
24.0,69.00000004,9.0,0.328571428442347,6.394623e-11
24.0,69.00000004,10.0,0.3428571427538776,7.1418454e-11
24.0,69.00000004,11.0,0.35714285706540816,8.8078246e-11
24.0,69.00000004,12.0,0.3714285713769388,1.2425481e-10
24.0,69.00000004,13.0,0.38571428568846944,1.7912526e-10
24.0,69.00000004,14.0,0.4,2.2908189e-10
24.0,70.0,0.0,0.19999999963857143,1.513253e-12
24.0,70.0,1.0,0.21428571395010204,1.4791144e-12
24.0,70.0,2.0,0.22857142826163265,1.1200178e-12
24.0,70.0,3.0,0.24285714257316326,1.452675e-12
24.0,70.0,4.0,0.2571428568846939,4.7934968e-12
24.0,70.0,5.0,0.2714285711962245,1.1279471e-11
24.0,70.0,6.0,0.28571428550775513,1.5601928e-11
24.0,70.0,7.0,0.2999999998192857,1.6220685e-11
24.0,70.0,8.0,0.31428571413081635,1.4862587e-11
24.0,70.0,9.0,0.328571428442347,1.30313755e-11
24.0,70.0,10.0,0.3428571427538776,1.1777167e-11
24.0,70.0,11.0,0.35714285706540816,1.1353748e-11
24.0,70.0,12.0,0.3714285713769388,1.1845758e-11
24.0,70.0,13.0,0.38571428568846944,1.332342e-11
24.0,70.0,14.0,0.4,1.5776666e-11
25.0,65.99999998,0.0,0.19999999963857143,2.4186601e-08
25.0,65.99999998,1.0,0.21428571395010204,2.8883427e-08
25.0,65.99999998,2.0,0.22857142826163265,4.63158e-08
25.0,65.99999998,3.0,0.24285714257316326,1.07364755e-07
25.0,65.99999998,4.0,0.2571428568846939,2.8617563e-07
25.0,65.99999998,5.0,0.2714285711962245,5.6449977e-07
25.0,65.99999998,6.0,0.28571428550775513,8.6988274e-07
25.0,65.99999998,7.0,0.2999999998192857,1.4610001e-06
25.0,65.99999998,8.0,0.31428571413081635,2.9209014e-06
25.0,65.99999998,9.0,0.328571428442347,5.601602e-06
25.0,65.99999998,10.0,0.3428571427538776,9.475697e-06
25.0,65.99999998,11.0,0.35714285706540816,1.6251834e-05
25.0,65.99999998,12.0,0.3714285713769388,2.736269e-05
25.0,65.99999998,13.0,0.38571428568846944,3.8383776e-05
25.0,65.99999998,14.0,0.4,5.2247273e-05
25.0,67.0,0.0,0.19999999963857143,3.4823715e-09
25.0,67.0,1.0,0.21428571395010204,4.398989e-09
25.0,67.0,2.0,0.22857142826163265,5.651959e-09
25.0,67.0,3.0,0.24285714257316326,9.414577e-09
25.0,67.0,4.0,0.2571428568846939,1.6545776e-08
