Z_physical,E_physical,Yield_pred
23.0,0.0,-7.863867e-13
23.0,1.0,-1.4472504e-12
23.0,2.0,-1.8575436e-12
23.0,3.0,-2.1365154e-12
23.0,4.0,-2.363819e-12
23.0,5.0,-2.5707355e-12
23.0,6.0,-2.7204417e-12
23.0,7.0,-2.7127222e-12
23.0,8.0,-2.400634e-12
23.0,9.0,-1.5275943e-12
23.0,10.0,4.0960963e-13
23.0,11.0,4.3010886e-12
23.0,12.0,1.1842741e-11
23.0,13.0,2.9584737e-11
23.0,14.0,8.612656e-11
24.0,0.0,8.1569855e-11
24.0,1.0,3.6185813e-10
24.0,2.0,1.5092121e-09
24.0,3.0,3.5314287e-09
24.0,4.0,5.753204e-09
24.0,5.0,8.3638e-09
24.0,6.0,1.4290513e-08
24.0,7.0,2.4554728e-08
24.0,8.0,3.2256498e-08
24.0,9.0,4.2812893e-08
24.0,10.0,6.447948e-08
24.0,11.0,1.1336334e-07
24.0,12.0,1.9500415e-07
24.0,13.0,2.6062028e-07
24.0,14.0,3.342094e-07
25.0,0.0,2.9021022e-08
25.0,1.0,3.588705e-08
25.0,2.0,5.775e-08
25.0,3.0,1.3014277e-07
25.0,4.0,3.28382e-07
25.0,5.0,6.337145e-07
25.0,6.0,9.856182e-07
25.0,7.0,1.6849468e-06
25.0,8.0,3.392728e-06
25.0,9.0,6.515586e-06
25.0,10.0,1.1022912e-05
25.0,11.0,1.868381e-05
25.0,12.0,3.1142754e-05
25.0,13.0,4.4114673e-05
25.0,14.0,6.0078502e-05
26.0,0.0,1.0329062e-06
26.0,1.0,1.5234615e-06
26.0,2.0,3.0179338e-06
26.0,3.0,7.0756982e-06
26.0,4.0,1.6238862e-05
26.0,5.0,3.1386327e-05
26.0,6.0,5.5414206e-05
26.0,7.0,9.1908514e-05
26.0,8.0,0.00014819429
26.0,9.0,0.00023367639
26.0,10.0,0.00035434446
26.0,11.0,0.00051447353
26.0,12.0,0.000731571
26.0,13.0,0.0009481371
26.0,14.0,0.001190064
27.0,0.0,6.358988e-06
27.0,1.0,9.379071e-06
27.0,2.0,1.5221012e-05
27.0,3.0,2.6464106e-05
27.0,4.0,4.5871242e-05
27.0,5.0,7.7070246e-05
27.0,6.0,0.00012107625
27.0,7.0,0.00017431518
27.0,8.0,0.0002479266
27.0,9.0,0.00036332742
27.0,10.0,0.0005635787
27.0,11.0,0.0008909391
27.0,12.0,0.0013404656
27.0,13.0,0.00191614
27.0,14.0,0.0026053921
27.999999999999996,0.0,1.4047109e-05
27.999999999999996,1.0,2.3893737e-05
27.999999999999996,2.0,4.3616226e-05
27.999999999999996,3.0,8.4637664e-05
27.999999999999996,4.0,0.0001616878
27.999999999999996,5.0,0.00027698142
27.999999999999996,6.0,0.0004474221
27.999999999999996,7.0,0.0007113257
27.999999999999996,8.0,0.0011060389
27.999999999999996,9.0,0.0016864769
27.999999999999996,10.0,0.0023356576
27.999999999999996,11.0,0.0031068644
27.999999999999996,12.0,0.0040005846
27.999999999999996,13.0,0.0048648375
27.999999999999996,14.0,0.005787093
29.0,0.0,0.00029992367
29.0,1.0,0.00049667514
29.0,2.0,0.0008190186
29.0,3.0,0.0012925396
29.0,4.0,0.0018645206
29.0,5.0,0.0025661727
29.0,6.0,0.0035516138
29.0,7.0,0.0049573984
29.0,8.0,0.007084966
29.0,9.0,0.009881913
29.0,10.0,0.013648548
29.0,11.0,0.019053275
29.0,12.0,0.02686364
29.0,13.0,0.037386645
29.0,14.0,0.050390173
30.0,0.0,0.015100011
30.0,1.0,0.02283205
30.0,2.0,0.03312635
30.0,3.0,0.044437148
30.0,4.0,0.055315617
30.0,5.0,0.06481394
30.0,6.0,0.07338228
30.0,7.0,0.07962369
30.0,8.0,0.08389258
30.0,9.0,0.087012075
30.0,10.0,0.090913765
30.0,11.0,0.095463656
30.0,12.0,0.09870935
30.0,13.0,0.102868564
30.0,14.0,0.10922525
31.000000000000004,0.0,0.08996923
31.000000000000004,1.0,0.10713608
31.000000000000004,2.0,0.12670335
31.000000000000004,3.0,0.15135603
31.000000000000004,4.0,0.18314919
31.000000000000004,5.0,0.22250618
31.000000000000004,6.0,0.27423856
31.000000000000004,7.0,0.34177765
31.000000000000004,8.0,0.4153773
31.000000000000004,9.0,0.4884041
31.000000000000004,10.0,0.55553776
31.000000000000004,11.0,0.60402036
31.000000000000004,12.0,0.6259792
31.000000000000004,13.0,0.6232379
31.000000000000004,14.0,0.59641945
32.0,0.0,0.8931871
32.0,1.0,1.116667
32.0,2.0,1.3461351
32.0,3.0,1.5633156
32.0,4.0,1.746964
32.0,5.0,1.8896774
32.0,6.0,1.9998819
32.0,7.0,2.084535
32.0,8.0,2.1260831
32.0,9.0,2.097196
32.0,10.0,1.990868
32.0,11.0,1.8288056
32.0,12.0,1.6469398
32.0,13.0,1.4723564
32.0,14.0,1.3123
33.0,0.0,1.3613143
33.0,1.0,1.6566601
33.0,2.0,2.01095
33.0,3.0,2.4545176
33.0,4.0,2.9507675
33.0,5.0,3.4191518
33.0,6.0,3.8249433
33.0,7.0,4.1274304
33.0,8.0,4.2683578
33.0,9.0,4.196011
33.0,10.0,3.923976
33.0,11.0,3.5440943
33.0,12.0,3.1299663
33.0,13.0,2.6757221
33.0,14.0,2.1839623
34.0,0.0,3.7968903
34.0,1.0,4.448382
34.0,2.0,5.053359
34.0,3.0,5.7019396
34.0,4.0,6.324146
34.0,5.0,6.739328
34.0,6.0,6.8936687
34.0,7.0,6.8314557
34.0,8.0,6.582727
34.0,9.0,6.1981606
34.0,10.0,5.759261
34.0,11.0,5.3265047
34.0,12.0,4.9348903
34.0,13.0,4.605191
34.0,14.0,4.3410378
35.0,0.0,7.2286415
35.0,1.0,8.31591
35.0,2.0,9.102892
35.0,3.0,9.62511
35.0,4.0,9.983446
35.0,5.0,10.228584
35.0,6.0,10.399742
35.0,7.0,10.446603
35.0,8.0,10.279927
35.0,9.0,9.8547535
35.0,10.0,9.199581
35.0,11.0,8.403059
35.0,12.0,7.5712123
35.0,13.0,6.8019533
35.0,14.0,6.181983
36.00000000000001,0.0,13.992986
36.00000000000001,1.0,15.163515
36.00000000000001,2.0,15.907398
36.00000000000001,3.0,16.2801
36.00000000000001,4.0,16.439608
36.00000000000001,5.0,16.47743
36.00000000000001,6.0,16.381744
36.00000000000001,7.0,16.128092
36.00000000000001,8.0,15.687379
36.00000000000001,9.0,15.027423
36.00000000000001,10.0,14.153312
36.00000000000001,11.0,13.143885
36.00000000000001,12.0,12.090371
36.00000000000001,13.0,11.054018
36.00000000000001,14.0,10.101836
37.0,0.0,13.828754
37.0,1.0,15.334093
37.0,2.0,16.477549
37.0,3.0,16.92149
37.0,4.0,16.736944
37.0,5.0,16.377407
37.0,6.0,16.08478
37.0,7.0,15.921939
37.0,8.0,15.831433
37.0,9.0,15.613372
37.0,10.0,15.080409
37.0,11.0,14.250751
37.0,12.0,13.179609
37.0,13.0,11.935094
37.0,14.0,10.730349
38.0,0.0,18.356745
38.0,1.0,18.95287
38.0,2.0,19.168259
38.0,3.0,19.058945
38.0,4.0,18.863283
38.0,5.0,18.755013
38.0,6.0,18.700012
38.0,7.0,18.611288
38.0,8.0,18.43986
38.0,9.0,18.209507
38.0,10.0,17.876352
38.0,11.0,17.112535
38.0,12.0,15.72025
38.0,13.0,13.914173
38.0,14.0,12.021315
39.0,0.0,14.620881
39.0,1.0,15.405588
39.0,2.0,15.589014
39.0,3.0,15.381202
39.0,4.0,14.942811
39.0,5.0,14.387209
39.0,6.0,13.856545
39.0,7.0,13.466916
39.0,8.0,13.213732
39.0,9.0,13.0324745
39.0,10.0,13.016272
39.0,11.0,13.210328
39.0,12.0,13.450183
39.0,13.0,13.56864
39.0,14.0,13.48336
40.0,0.0,16.998173
40.0,1.0,18.106018
40.0,2.0,18.714327
40.0,3.0,18.624866
40.0,4.0,18.19344
40.0,5.0,17.791327
40.0,6.0,17.523994
40.0,7.0,17.423563
40.0,8.0,17.585451
40.0,9.0,18.001816
40.0,10.0,18.340752
40.0,11.0,18.244062
40.0,12.0,17.73308
40.0,13.0,16.97795
40.0,14.0,15.993436
41.0,0.0,7.0579777
41.0,1.0,9.083747
41.0,2.0,11.400357
41.0,3.0,13.077159
41.0,4.0,13.709382
41.0,5.0,13.878129
41.0,6.0,13.489818
41.0,7.0,12.658133
41.0,8.0,11.991069
41.0,9.0,11.738313
41.0,10.0,11.806818
41.0,11.0,11.773004
41.0,12.0,11.348973
41.0,13.0,10.826435
41.0,14.0,10.366911
42.0,0.0,4.61688
42.0,1.0,5.355976
42.0,2.0,6.1697755
