A_physical,E_physical,Yield_pred
65.99999998,0.0,1.670852e-07
65.99999998,1.0,2.0752161e-07
65.99999998,2.0,2.7147e-07
65.99999998,3.0,4.1440674e-07
65.99999998,4.0,7.343892e-07
65.99999998,5.0,1.4931903e-06
65.99999998,6.0,2.9509e-06
65.99999998,7.0,7.29359e-06
65.99999998,8.0,1.5608597e-05
65.99999998,9.0,3.1257776e-05
65.99999998,10.0,6.613601e-05
65.99999998,11.0,0.00011876537
65.99999998,12.0,0.00019491637
65.99999998,13.0,0.00029951634
65.99999998,14.0,0.00044763554
67.0,0.0,1.0652726e-06
67.0,1.0,1.0674416e-06
67.0,2.0,1.1461105e-06
67.0,3.0,1.5943303e-06
67.0,4.0,3.0127296e-06
67.0,5.0,5.840053e-06
67.0,6.0,1.1351376e-05
67.0,7.0,2.1850597e-05
67.0,8.0,3.6449463e-05
67.0,9.0,6.1891486e-05
67.0,10.0,0.00010542943
67.0,11.0,0.00017451412
67.0,12.0,0.00028406907
67.0,13.0,0.0004536304
67.0,14.0,0.0006728453
68.00000002,0.0,1.2058405e-06
68.00000002,1.0,1.5800276e-06
68.00000002,2.0,2.6522887e-06
68.00000002,3.0,4.7979743e-06
68.00000002,4.0,9.368822e-06
68.00000002,5.0,1.8418938e-05
68.00000002,6.0,3.3061373e-05
68.00000002,7.0,5.755266e-05
68.00000002,8.0,9.343557e-05
68.00000002,9.0,0.00014288636
68.00000002,10.0,0.00021867985
68.00000002,11.0,0.00031956047
68.00000002,12.0,0.00043054417
68.00000002,13.0,0.00054862787
68.00000002,14.0,0.0006666759
69.00000004,0.0,1.255498e-06
69.00000004,1.0,1.4985541e-06
69.00000004,2.0,2.113508e-06
69.00000004,3.0,4.118576e-06
69.00000004,4.0,7.769747e-06
69.00000004,5.0,1.5788606e-05
69.00000004,6.0,3.1952408e-05
69.00000004,7.0,6.373461e-05
69.00000004,8.0,0.000114384806
69.00000004,9.0,0.00020278558
69.00000004,10.0,0.00033400615
69.00000004,11.0,0.00050996966
69.00000004,12.0,0.0007419647
69.00000004,13.0,0.0010394367
69.00000004,14.0,0.0013804549
70.0,0.0,1.7526651e-06
70.0,1.0,2.132448e-06
70.0,2.0,2.94067e-06
70.0,3.0,4.3776286e-06
70.0,4.0,7.653644e-06
70.0,5.0,1.662439e-05
70.0,6.0,3.6617923e-05
70.0,7.0,7.328805e-05
70.0,8.0,0.00013795761
70.0,9.0,0.0002481671
70.0,10.0,0.00041456267
70.0,11.0,0.00066252594
70.0,12.0,0.00096171885
70.0,13.0,0.0013065371
70.0,14.0,0.0016434976
71.00000002000002,0.0,3.1808297e-06
71.00000002000002,1.0,6.5092117e-06
71.00000002000002,2.0,1.19196975e-05
71.00000002000002,3.0,2.148251e-05
71.00000002000002,4.0,3.6831807e-05
71.00000002000002,5.0,6.27269e-05
71.00000002000002,6.0,0.0001022121
71.00000002000002,7.0,0.00016681402
71.00000002000002,8.0,0.00027630065
71.00000002000002,9.0,0.00045350674
71.00000002000002,10.0,0.0007278301
71.00000002000002,11.0,0.0011520926
71.00000002000002,12.0,0.0017910383
71.00000002000002,13.0,0.0026560372
71.00000002000002,14.0,0.0036757812
71.99999998000001,0.0,1.0273321e-05
71.99999998000001,1.0,1.5658627e-05
71.99999998000001,2.0,2.5853133e-05
71.99999998000001,3.0,4.4083634e-05
71.99999998000001,4.0,7.607924e-05
71.99999998000001,5.0,0.00012322707
71.99999998000001,6.0,0.00020936623
71.99999998000001,7.0,0.00036012018
71.99999998000001,8.0,0.00057177444
71.99999998000001,9.0,0.00087383064
71.99999998000001,10.0,0.0012236913
71.99999998000001,11.0,0.0016329859
71.99999998000001,12.0,0.0020982747
71.99999998000001,13.0,0.0026127384
71.99999998000001,14.0,0.003170653
73.00000000000001,0.0,7.222397e-05
73.00000000000001,1.0,0.000109780754
73.00000000000001,2.0,0.00016455821
73.00000000000001,3.0,0.00025626222
73.00000000000001,4.0,0.00044097973
73.00000000000001,5.0,0.00078198896
73.00000000000001,6.0,0.0012733798
73.00000000000001,7.0,0.0019754674
73.00000000000001,8.0,0.002695114
73.00000000000001,9.0,0.003313426
73.00000000000001,10.0,0.0038059223
73.00000000000001,11.0,0.0043598227
73.00000000000001,12.0,0.005383746
73.00000000000001,13.0,0.007106925
73.00000000000001,14.0,0.009118774
74.00000002,0.0,0.00035841315
74.00000002,1.0,0.00045973092
74.00000002,2.0,0.00060199056
74.00000002,3.0,0.0008017389
74.00000002,4.0,0.0010837513
74.00000002,5.0,0.0014892728
74.00000002,6.0,0.002102015
74.00000002,7.0,0.003063222
74.00000002,8.0,0.0044134753
74.00000002,9.0,0.00619015
74.00000002,10.0,0.008193776
74.00000002,11.0,0.01051187
74.00000002,12.0,0.013253386
74.00000002,13.0,0.016177706
74.00000002,14.0,0.018859345
74.99999998,0.0,0.0008735987
74.99999998,1.0,0.0013664175
74.99999998,2.0,0.0020300979
74.99999998,3.0,0.002890576
74.99999998,4.0,0.0039258827
74.99999998,5.0,0.005137929
74.99999998,6.0,0.0066322098
74.99999998,7.0,0.00862213
74.99999998,8.0,0.011203813
74.99999998,9.0,0.014318079
74.99999998,10.0,0.017448116
74.99999998,11.0,0.019937389
74.99999998,12.0,0.021798268
74.99999998,13.0,0.023587666
74.99999998,14.0,0.025596326
76.00000000000001,0.0,0.0029897487
76.00000000000001,1.0,0.004285259
76.00000000000001,2.0,0.0059702843
76.00000000000001,3.0,0.008008798
76.00000000000001,4.0,0.010379354
76.00000000000001,5.0,0.013188112
76.00000000000001,6.0,0.016758546
76.00000000000001,7.0,0.021586135
76.00000000000001,8.0,0.02755823
76.00000000000001,9.0,0.035266723
76.00000000000001,10.0,0.0451529
76.00000000000001,11.0,0.056243103
76.00000000000001,12.0,0.06630775
76.00000000000001,13.0,0.07369629
76.00000000000001,14.0,0.07807627
77.00000002000002,0.0,0.006353111
77.00000002000002,1.0,0.009157258
77.00000002000002,2.0,0.012894922
77.00000002000002,3.0,0.018127477
77.00000002000002,4.0,0.024957195
77.00000002000002,5.0,0.03316254
77.00000002000002,6.0,0.044876043
77.00000002000002,7.0,0.059150588
77.00000002000002,8.0,0.07247446
77.00000002000002,9.0,0.08337258
77.00000002000002,10.0,0.091196775
77.00000002000002,11.0,0.09545422
77.00000002000002,12.0,0.09644941
77.00000002000002,13.0,0.095535606
77.00000002000002,14.0,0.09354447
77.99999998000001,0.0,0.013164273
77.99999998000001,1.0,0.020637032
77.99999998000001,2.0,0.03086903
