Z_physical,E_physical,Yield_pred
23.0,0.0,-2.3791693e-12
23.0,1.0,-1.0072399e-12
23.0,2.0,6.884332e-13
23.0,3.0,2.7314995e-12
23.0,4.0,5.108755e-12
23.0,5.0,7.846189e-12
23.0,6.0,1.1075756e-11
23.0,7.0,1.5039693e-11
23.0,8.0,2.0149826e-11
23.0,9.0,2.7097675e-11
23.0,10.0,3.6968376e-11
23.0,11.0,5.109604e-11
23.0,12.0,7.092144e-11
23.0,13.0,9.814178e-11
23.0,14.0,1.3548887e-10
24.0,0.0,1.435876e-11
24.0,1.0,2.9467644e-11
24.0,2.0,4.210344e-11
24.0,3.0,5.3048958e-11
24.0,4.0,6.703317e-11
24.0,5.0,9.3128165e-11
24.0,6.0,1.4877188e-10
24.0,7.0,2.774892e-10
24.0,8.0,6.036662e-10
24.0,9.0,1.5131767e-09
24.0,10.0,4.2044492e-09
24.0,11.0,1.212301e-08
24.0,12.0,3.400231e-08
24.0,13.0,8.6446974e-08
24.0,14.0,1.6438952e-07
25.0,0.0,4.1038013e-09
25.0,1.0,6.6967814e-09
25.0,2.0,1.0721498e-08
25.0,3.0,1.682921e-08
25.0,4.0,2.6547303e-08
25.0,5.0,4.3644846e-08
25.0,6.0,7.668421e-08
25.0,7.0,1.4348532e-07
25.0,8.0,2.7895905e-07
25.0,9.0,5.2110073e-07
25.0,10.0,9.75575e-07
25.0,11.0,1.7773123e-06
25.0,12.0,3.1166985e-06
25.0,13.0,5.831899e-06
25.0,14.0,1.0381782e-05
26.0,0.0,1.331869e-07
26.0,1.0,2.3036918e-07
26.0,2.0,4.2945453e-07
26.0,3.0,8.6471744e-07
26.0,4.0,1.8791065e-06
26.0,5.0,3.7432292e-06
26.0,6.0,6.90096e-06
26.0,7.0,1.2820563e-05
26.0,8.0,2.1074991e-05
26.0,9.0,3.3322507e-05
26.0,10.0,6.13583e-05
26.0,11.0,0.00010353257
26.0,12.0,0.00016361015
26.0,13.0,0.0002552652
26.0,14.0,0.00039660008
27.0,0.0,3.86339e-06
27.0,1.0,4.285639e-06
27.0,2.0,5.388998e-06
27.0,3.0,7.3523415e-06
27.0,4.0,9.940009e-06
27.0,5.0,1.3351175e-05
27.0,6.0,1.8466582e-05
27.0,7.0,2.8153929e-05
27.0,8.0,4.391847e-05
27.0,9.0,7.820824e-05
27.0,10.0,0.00014567605
27.0,11.0,0.00026101977
27.0,12.0,0.00043872767
27.0,13.0,0.0007165826
27.0,14.0,0.0010861797
27.999999999999996,0.0,6.273122e-06
27.999999999999996,1.0,9.315572e-06
27.999999999999996,2.0,1.4202291e-05
27.999999999999996,3.0,2.3868894e-05
27.999999999999996,4.0,4.15809e-05
27.999999999999996,5.0,7.608583e-05
27.999999999999996,6.0,0.00013514413
27.999999999999996,7.0,0.00023641455
27.999999999999996,8.0,0.00040242396
27.999999999999996,9.0,0.0006774314
27.999999999999996,10.0,0.0011122079
27.999999999999996,11.0,0.0017442127
27.999999999999996,12.0,0.002581419
27.999999999999996,13.0,0.0036600686
27.999999999999996,14.0,0.0048621073
29.0,0.0,0.00011262931
29.0,1.0,0.00016232148
29.0,2.0,0.00024479226
29.0,3.0,0.00039934152
29.0,4.0,0.0006976906
29.0,5.0,0.001244283
29.0,6.0,0.0021357806
29.0,7.0,0.0036028072
